label	group	en	uk
spam	sale	Exclusive clearance: save 65% on electronics this weekend. Activate your personal shopping voucher now.	Ексклюзивний розпродаж: заощадьте 65% на електроніці цими вихідними. Активуйте персональний купон на покупки зараз.
spam	sale	Private outlet access unlocked. Limited stock at special prices. Complete your order before the offer expires.	Доступ до закритого аутлету відкрито. Обмежений запас товарів за спеціальними цінами. Оформіть покупку до завершення акції.
spam	sale	Your regional discount is ready. Join the selected buyers and claim up to 80% off today only.	Ваша регіональна знижка готова. Приєднуйтеся до обраних покупців та отримайте до 80% знижки лише сьогодні.
legitimate	sale	I found the keyboard you wanted on sale. Shall we look at it together after work?	Знайшов клавіатуру, яку ти хотів, зі знижкою. Подивимося її разом після роботи?
legitimate	sale	The shop reduced the price of my shoes after I bought them. I am going to ask for a refund.	Магазин знизив ціну на мої кросівки після покупки. Хочу попросити повернути різницю.
spam	gift	Your number was selected for a surprise gift. Submit your address through the claim form to receive your reward.	Ваш номер обрано для несподіваного подарунка. Залиште адресу у формі отримання, щоб забрати нагороду.
spam	gift	You are on our winners list! A gift package is waiting. Confirm your details to reserve delivery.	Ви у списку переможців! На вас чекає подарунковий набір. Підтвердіть дані, щоб зарезервувати доставку.
spam	gift	A promotional reward has been allocated to your profile. Accept the invitation and unlock your exclusive prize.	Для вашого профілю призначено рекламну винагороду. Прийміть запрошення та відкрийте ексклюзивний приз.
legitimate	gift	We bought a birthday gift for mum. Can you pick up the parcel from the post office?	Ми купили подарунок мамі на день народження. Можеш забрати посилку на пошті?
legitimate	gift	Thanks for the present! Please send me your address so I can return the book you lent me.	Дякую за подарунок! Надішли свою адресу, щоб я повернула книгу, яку ти позичив.
spam	loyalty	Activate your membership today and collect 750 bonus points. This personal invitation expires tonight.	Активуйте участь сьогодні й отримайте 750 бонусних балів. Персональне запрошення закінчується сьогодні ввечері.
spam	loyalty	A limited partner promotion is available for your account. Register now to receive extra cashback on your first purchase.	Для вашого акаунта доступна обмежена партнерська акція. Зареєструйтеся зараз, щоб отримати додатковий кешбек за першу покупку.
spam	loyalty	Members only: your special pricing window closes soon. Follow the activation link to keep your shopping benefits.	Лише для учасників: термін спеціальної ціни скоро закінчиться. Перейдіть за посиланням активації, щоб зберегти переваги покупок.
legitimate	loyalty	I used my loyalty points to buy groceries yesterday. The receipt is in the kitchen drawer.	Я вчора використала бонусні бали на продукти. Чек лежить у кухонній шухляді.
legitimate	loyalty	Could you check whether the cashback for our hotel booking arrived? I cannot find it in the statement.	Можеш перевірити, чи надійшов кешбек за бронювання готелю? Не бачу його у виписці.
spam	trial	Start your complimentary premium trial and receive a welcome bonus. No waiting: activate your offer in seconds.	Розпочніть безкоштовний пробний доступ до преміуму й отримайте вітальний бонус. Без очікування: активуйте пропозицію за секунди.
spam	trial	A free subscription upgrade is reserved for you. Connect today and enjoy special member rewards.	Для вас зарезервовано безкоштовне покращення підписки. Підключіться сьогодні та отримайте спеціальні винагороди учасника.
spam	trial	Try our service at no cost and get 300 credits after activation. Hurry, this invitation is available to selected accounts only.	Спробуйте наш сервіс безкоштовно та отримайте 300 кредитів після активації. Поспішайте: запрошення доступне лише обраним акаунтам.
legitimate	trial	I cancelled the trial yesterday because we no longer need the service. Please check that the payment stopped.	Учора скасував пробний період, бо сервіс нам більше не потрібен. Перевір, будь ласка, що оплату зупинено.
legitimate	trial	The software trial we requested is ready. I have added the installation notes to our project document.	Пробна версія програми, яку ми замовляли, готова. Додав інструкцію встановлення до документа проєкту.
spam	finance	You qualify for instant credit without paperwork. Claim your preapproved loan before midnight.	Вам доступний миттєвий кредит без документів. Отримайте попередньо схвалену позику до опівночі.
spam	finance	Earn guaranteed daily returns with our private investment club. A personal manager will activate your bonus deposit.	Отримуйте гарантований щоденний прибуток у нашому закритому інвестиційному клубі. Персональний менеджер активує бонусний депозит.
